inst                      ub
SBF2-0.50/arc83_c=8412    10
SBF2-0.50/arc83_c=8898    9
SBF2-0.50/arc83_c=10816   8
SBF2-0.50/arc111_c=5755   28
SBF2-0.50/arc111_c=8847   18
SBF2-0.50/Arc111_c=10027  16
SBF2-0.50/Arc111_c=10743  15
SBF2-0.50/arc111_c=11378  14
SBF2-0.50/Arc111_c=17067  9
SBF2-0.50/Sawyer30_c=33   11
SBF2-0.50/Sawyer30_c=47   8
SBF2-0.50/kilbrid_c=56    11
SBF2-0.50/kilbrid_c=62    10
SBF2-0.50/kilbrid_c=69    9
SBF2-0.50/kilbrid_c=111   6
SBF2-0.50/Tonge70_c=160   24
SBF2-0.50/Tonge70_c=168   23
SBF2-0.50/Tonge70_c=185   21
SBF2-0.50/Tonge70_c=195   20
SBF2-0.50/Tonge70_c=207   19
SBF2-0.50/Tonge70_c=220   18
SBF2-0.50/Tonge70_c=234   16
SBF2-0.50/Tonge70_c=251   15
SBF2-0.50/Tonge70_c=270   14
SBF2-0.50/Tonge70_c=293   13
SBF2-0.50/Tonge70_c=320   12
SBF2-0.50/Arc83_c=3786    22
SBF2-0.50/Arc83_c=3985    21
SBF2-0.50/Arc83_c=4206    20
SBF2-0.50/Arc83_c=4454    19
SBF2-0.50/Arc83_c=4732    18
SBF2-0.50/Arc83_c=5408    15
SBF2-0.50/Arc83_c=5824    14
SBF2-0.50/Arc83_c=6309    13
SBF2-0.50/Arc83_c=6883    12
SBF2-0.50/Arc111_c=5785   28
SBF2-0.50/Arc111_c=6016   27
SBF2-0.50/Arc111_c=6267   26
SBF2-0.50/Arc111_c=6540   25
SBF2-0.50/Arc111_c=6837   24
SBF2-0.50/Arc111_c=7162   22
SBF2-0.50/Arc111_c=7520   22
SBF2-0.50/Arc111_c=7916   20
SBF2-0.50/Arc111_c=8356   19
SBF2-0.50/Arc111_c=9400   17
SBF2-0.50/Arc111_c=11570  14
SBF2-0.50/roszieg_c=14    10
SBF2-0.50/roszieg_c=16    8
SBF2-0.50/roszieg_c=18    8
SBF2-0.50/roszieg_c=21    6
SBF2-0.50/roszieg_c=25    6
SBF2-0.50/roszieg_c=32    4
SBF2-0.50/buxey_c=27      13
SBF2-0.50/buxey_c=30      12
SBF2-0.50/buxey_c=33      11
SBF2-0.50/buxey_c=36      10
SBF2-0.50/buxey_c=41      8
SBF2-0.50/buxey_c=47      8
SBF2-0.50/buxey_c=54      7
SBF2-0.50/lutz1_c=1414    11
SBF2-0.50/lutz1_c=1572    10
SBF2-0.50/lutz1_c=1768    9
SBF2-0.50/lutz1_c=2020    8
SBF2-0.50/lutz1_c=2357    7
SBF2-0.50/lutz1_c=2828    6
SBF2-0.50/gunther_c=41    14
SBF2-0.50/gunther_c=44    12
SBF2-0.50/gunther_c=49    11
SBF2-0.50/gunther_c=54    9
SBF2-0.50/gunther_c=61    9
SBF2-0.50/gunther_c=69    8
SBF2-0.50/gunther_c=81    7
SBF2-0.50/hahn_c=2004     8
SBF2-0.50/hahn_c=2338     7
SBF2-0.50/hahn_c=2806     6
SBF2-0.50/hahn_c=3507     5
SBF2-0.50/hahn_c=4676     4
SBF2-0.50/warnecke_c=54   32
SBF2-0.50/warnecke_c=56   31
SBF2-0.50/warnecke_c=58   30
SBF2-0.50/warnecke_c=60   29
SBF2-0.50/warnecke_c=62   29
SBF2-0.50/warnecke_c=65   27
SBF2-0.50/warnecke_c=68   25
SBF2-0.50/warnecke_c=71   25
SBF2-0.50/warnecke_c=74   24
SBF2-0.50/warnecke_c=78   22
SBF2-0.50/warnecke_c=82   21
SBF2-0.50/warnecke_c=86   20
SBF2-0.50/warnecke_c=92   18
SBF2-0.50/warnecke_c=97   18
SBF2-0.50/warnecke_c=104  16
SBF2-0.50/warnecke_c=111  15
SBF2-0.50/wee-mag_c=28    63
SBF2-0.50/wee-mag_c=29    63
SBF2-0.50/wee-mag_c=30    62
SBF2-0.50/wee-mag_c=31    62
SBF2-0.50/wee-mag_c=32    61
SBF2-0.50/wee-mag_c=33    61
SBF2-0.50/wee-mag_c=34    61
SBF2-0.50/wee-mag_c=35    60
SBF2-0.50/wee-mag_c=36    60
SBF2-0.50/wee-mag_c=37    60
SBF2-0.50/wee-mag_c=38    60
SBF2-0.50/wee-mag_c=39    60
SBF2-0.50/wee-mag_c=40    60
SBF2-0.50/wee-mag_c=41    59
SBF2-0.50/wee-mag_c=42    55
SBF2-0.50/wee-mag_c=43    50
SBF2-0.50/wee-mag_c=45    40
SBF2-0.50/wee-mag_c=46    36
SBF2-0.50/wee-mag_c=47    34
SBF2-0.50/wee-mag_c=49    33
SBF2-0.50/wee-mag_c=50    32
SBF2-0.50/wee-mag_c=52    32
SBF2-0.50/wee-mag_c=54    31
SBF2-0.50/wee-mag_c=56    31
SBF2-0.50/lutz2_c=11      51
SBF2-0.50/lutz2_c=12      46
SBF2-0.50/lutz2_c=13      42
SBF2-0.50/lutz2_c=14      38
SBF2-0.50/lutz2_c=15      35
SBF2-0.50/lutz2_c=16      33
SBF2-0.50/lutz2_c=17      31
SBF2-0.50/lutz2_c=18      29
SBF2-0.50/lutz2_c=19      27
SBF2-0.50/lutz2_c=20      26
SBF2-0.50/lutz2_c=21      25
SBF2-0.50/lutz3_c=75      24
SBF2-0.50/lutz3_c=79      22
SBF2-0.50/lutz3_c=83      21
SBF2-0.50/lutz3_c=87      20
SBF2-0.50/lutz3_c=92      19
SBF2-0.50/lutz3_c=97      18
SBF2-0.50/lutz3_c=103     17
SBF2-0.50/lutz3_c=110     16
SBF2-0.50/lutz3_c=118     15
SBF2-0.50/lutz3_c=127     14
SBF2-0.50/lutz3_c=137     13
SBF2-0.50/lutz3_c=150     12
SBF2-0.50/mukherje_c=176  26
SBF2-0.50/mukherje_c=183  25
SBF2-0.50/mukherje_c=192  24
SBF2-0.50/mukherje_c=201  23
SBF2-0.50/mukherje_c=211  22
SBF2-0.50/mukherje_c=222  21
SBF2-0.50/mukherje_c=234  19
SBF2-0.50/mukherje_c=248  18
SBF2-0.50/mukherje_c=263  17
SBF2-0.50/mukherje_c=281  16
SBF2-0.50/mukherje_c=301  15
SBF2-0.50/mukherje_c=324  14
SBF2-0.50/mukherje_c=351  13
SBF2-0.50/barthold_c=403  15
SBF2-0.50/barthold_c=434  14
SBF2-0.50/barthold_c=470  13
SBF2-0.50/barthold_c=513  12
SBF2-0.50/barthold_c=564  11
SBF2-0.50/barthold_c=626  10
SBF2-0.50/barthold_c=705  9
SBF2-0.50/barthold_c=805  8
SBF2-0.50/barthol2_c=84   55
SBF2-0.50/barthol2_c=85   54
SBF2-0.50/barthol2_c=87   53
SBF2-0.50/barthol2_c=89   52
SBF2-0.50/barthol2_c=91   50
SBF2-0.50/barthol2_c=93   50
SBF2-0.50/barthol2_c=95   48
SBF2-0.50/barthol2_c=97   47
SBF2-0.50/barthol2_c=99   46
SBF2-0.50/barthol2_c=101  45
SBF2-0.50/barthol2_c=104  44
SBF2-0.50/barthol2_c=106  43
SBF2-0.50/barthol2_c=109  42
SBF2-0.50/barthol2_c=112  41
SBF2-0.50/barthol2_c=115  40
SBF2-0.50/barthol2_c=118  39
SBF2-0.50/barthol2_c=121  38
SBF2-0.50/barthol2_c=125  36
SBF2-0.50/barthol2_c=129  35
SBF2-0.50/barthol2_c=133  34
SBF2-0.50/barthol2_c=137  33
SBF2-0.50/barthol2_c=142  32
SBF2-0.50/barthol2_c=146  31
SBF2-0.50/barthol2_c=152  30
SBF2-0.50/barthol2_c=157  29
SBF2-0.50/barthol2_c=163  28
SBF2-0.50/barthol2_c=170  27
SBF2-0.50/scholl_c=1394   53
SBF2-0.50/scholl_c=1422   52
SBF2-0.50/scholl_c=1452   51
SBF2-0.50/scholl_c=1483   50
SBF2-0.50/scholl_c=1515   49
SBF2-0.50/scholl_c=1548   48
SBF2-0.50/scholl_c=1584   47
SBF2-0.50/scholl_c=1620   46
SBF2-0.50/scholl_c=1659   45
SBF2-0.50/scholl_c=1699   44
SBF2-0.50/scholl_c=1742   43
SBF2-0.50/scholl_c=1787   42
SBF2-0.50/scholl_c=1834   41
SBF2-0.50/scholl_c=1883   40
SBF2-0.50/scholl_c=1935   38
SBF2-0.50/scholl_c=1991   37
SBF2-0.50/scholl_c=2049   36
SBF2-0.50/scholl_c=2111   35
SBF2-0.50/scholl_c=2177   34
SBF2-0.50/scholl_c=2247   33
SBF2-0.50/scholl_c=2322   32
SBF2-0.50/scholl_c=2402   31
SBF2-0.50/scholl_c=2488   30
SBF2-0.50/scholl_c=2580   29
SBF2-0.50/scholl_c=2680   28
SBF2-0.50/scholl_c=2787   27
SBF2-0.75/bowman8_c=20    5
SBF2-0.75/mansoor_c=48    4
SBF2-0.75/mansoor_c=62    3
SBF2-0.75/mansoor_c=94    2
SBF2-0.75/mertens_c=6     6
SBF2-0.75/mertens_c=7     5
SBF2-0.75/mertens_c=8     5
SBF2-0.75/mertens_c=10    3
SBF2-0.75/mertens_c=15    2
SBF2-0.75/mertens_c=18    2
SBF2-0.75/jaeschke_c=6    8
SBF2-0.75/jaeschke_c=7    7
SBF2-0.75/jaeschke_c=8    6
SBF2-0.75/jaeschke_c=10   4
SBF2-0.75/jaeschke_c=18   3
SBF2-0.75/jackson_c=7     8
SBF2-0.75/jackson_c=9     6
SBF2-0.75/jackson_c=10    5
SBF2-0.75/jackson_c=13    4
SBF2-0.75/jackson_c=14    4
SBF2-0.75/jackson_c=21    3
SBF2-0.75/mitchell_c=14   8
SBF2-0.75/mitchell_c=15   8
SBF2-0.75/mitchell_c=21   5
SBF2-0.75/mitchell_c=26   5
SBF2-0.75/mitchell_c=35   3
SBF2-0.75/mitchell_c=39   3
SBF2-0.75/heskia_c=138    8
SBF2-0.75/heskia_c=205    6
SBF2-0.75/heskia_c=216    5
SBF2-0.75/heskia_c=256    4
SBF2-0.75/heskia_c=324    4
SBF2-0.75/heskia_c=342    3
SBF2-0.75/sawyer30_c=25   14
SBF2-0.75/sawyer30_c=27   13
SBF2-0.75/sawyer30_c=30   12
SBF2-0.75/sawyer30_c=36   10
SBF2-0.75/sawyer30_c=41   9
SBF2-0.75/sawyer30_c=54   7
SBF2-0.75/sawyer30_c=75   5
SBF2-0.75/kilbrid_c=57    11
SBF2-0.75/kilbrid_c=79    8
SBF2-0.75/kilbrid_c=92    6
SBF2-0.75/kilbrid_c=110   6
SBF2-0.75/kilbrid_c=138   4
SBF2-0.75/kilbrid_c=184   4
SBF2-0.75/Tonge70_c=176   22
SBF2-0.75/tonge70_c=364   10
SBF2-0.75/tonge70_c=410   9
SBF2-0.75/tonge70_c=468   8
SBF2-0.75/tonge70_c=527   7
SBF2-0.75/Arc83_c=5048    17
SBF2-0.75/arc83_c=5853    14
SBF2-0.75/arc83_c=6842    13
SBF2-0.75/Arc83_c=7571    11
SBF2-0.75/arc83_c=8412    10
SBF2-0.75/arc83_c=8898    9
SBF2-0.75/arc83_c=10816   8
