inst,elapsed,alg,lb,ub,blb
mp/HAHN.IN2_TS0.75_EJ10,0.027542822,S_hoffmann/cbfs,8,8,8
mp/HAHN.IN2_TS0.75_EJ2,0.01184086,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.75_EJ3,0.021549134,S_hoffmann/cbfs,6,6,6
mp/HAHN.IN2_TS0.75_EJ4,0.01983666,S_hoffmann/cbfs,6,6,6
mp/HAHN.IN2_TS0.75_EJ5,0.019357139,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.75_EJ6,0.017092988,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.75_EJ7,0.017319435,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.75_EJ8,0.024865463,S_hoffmann/cbfs,6,6,6
mp/HAHN.IN2_TS0.75_EJ9,0.026010714,S_hoffmann/cbfs,8,8,8
mp/HAHN.IN2_TS0.75-med_EJ1,1.090260696,S_hoffmann/cbfs,6,6,6
mp/HAHN.IN2_TS0.75-med_EJ10,1.785771916,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.75-med_EJ2,134.109809929,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.75-med_EJ3,0.501073989,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.75-med_EJ4,5.655725132,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.75-med_EJ5,12.04838323,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.75-med_EJ6,12.030456121,S_hoffmann/cbfs,6,6,6
mp/HAHN.IN2_TS0.75-med_EJ7,134.055389418,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.75-med_EJ8,120.286280757,S_hoffmann/cbfs,8,8,8
mp/HAHN.IN2_TS0.75-med_EJ9,0.260977937,S_hoffmann/cbfs,6,6,6
mp/HESKIA.IN2_TS0.25_EJ1,0.012606184,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.25_EJ10,0.006528226,S_hoffmann/cbfs,6,6,6
mp/HESKIA.IN2_TS0.25_EJ2,0.010148252,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25_EJ3,0.014781816,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25_EJ4,0.013199184,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25_EJ5,0.017898193,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25_EJ6,0.005404751,S_hoffmann/cbfs,8,8,8
mp/HESKIA.IN2_TS0.25_EJ7,0.015074775,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25_EJ8,0.014653096,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25_EJ9,0.008142959,S_hoffmann/cbfs,6,6,6
