set,alpha,inst,lms1sbbf,lms1sbbf.t,lms1dw,lms1dw.t,n,lm1,lms1,lm2,lm3,lm4,opt,lmb
SBF2,0.25,Arc83_c=6309,13,0.963136219,13,0.069029748,83,13,13,1,2,13,13,13
SBF2,0.25,Arc83_c=6883,12,0.792431691,12,0.067238273,83,12,12,1,2,12,12,12
SBF2,0.25,Arc83_c=7571,11,0.730430661,11,0.046709423,83,11,11,0,2,11,11,11
SBF2,0.25,Sawyer30_c=33,10,0.069191538,10,0.004421701,30,10,10,5,7,10,11,10
SBF2,0.25,Sawyer30_c=47,7,0.048628886,7,0.005150009,30,7,7,1,4,7,7,7
SBF2,0.25,Tonge70_c=160,23,0.861895761,23,0.041374071,70,23,23,14,16,23,23,23
SBF2,0.25,Tonge70_c=168,21,1.093222949,22,0.048650978,70,21,21,13,15,21,22,22
SBF2,0.25,Tonge70_c=176,20,1.171009065,21,0.053741569,70,20,20,12,15,20,21,21
SBF2,0.25,Tonge70_c=185,19,0.901639765,20,0.072913487,70,19,19,9,14,19,20,20
SBF2,0.25,Tonge70_c=195,18,1.204129726,19,0.069152507,70,18,18,8,13,18,19,19
SBF2,0.25,Tonge70_c=207,17,1.183924632,18,0.189590724,70,17,17,7,11,17,18,18
SBF2,0.25,Tonge70_c=220,16,0.770722715,17,0.147501162,70,16,16,7,9,16,17,17
SBF2,0.25,Tonge70_c=234,15,0.71119203,16,0.101038701,70,15,15,7,8,15,16,16
SBF2,0.25,Tonge70_c=251,14,0.674042209,14,0.136401323,70,14,14,6,7,14,14,14
SBF2,0.25,Tonge70_c=270,13,0.573218368,14,0.175841877,70,13,13,4,5,13,14,14
SBF2,0.25,Tonge70_c=293,12,0.546832774,13,0.446048005,70,12,12,2,4,12,13,13
SBF2,0.25,Tonge70_c=320,11,0.415897957,11,0.109643285,70,11,11,0,4,11,11,11
SBF2,0.25,arc111_c=11378,14,8.593598089,14,19.747032983,111,14,14,1,4,14,14,14
SBF2,0.25,arc111_c=5755,27,52.064054767,27,4.032630607,111,27,27,18,21,27,27,27
SBF2,0.25,arc111_c=8847,18,84.826401202,18,42.457935754,111,17,17,5,9,17,18,18
SBF2,0.25,arc83_c=10816,8,1.287794868,8,34.489604095,83,7,7,0,1,7,8,8
SBF2,0.25,arc83_c=5853,14,1.063947353,14,0.077934511,83,13,13,1,3,14,14,14
SBF2,0.25,arc83_c=6842,12,0.954056555,12,0.077436342,83,12,12,1,2,12,12,12
SBF2,0.25,arc83_c=8412,10,0.699335173,10,0.087072939,83,10,10,0,1,10,10,10
SBF2,0.25,arc83_c=8898,9,0.429795411,9,0.040247343,83,9,9,0,1,9,9,9
SBF2,0.25,barthol2_c=115,37,569.393759984,37,0.349191465,148,37,37,13,23,37,37,37
SBF2,0.25,barthol2_c=125,34,515.724582849,34,0.424757049,148,34,34,11,16,34,34,34
SBF2,0.25,barthol2_c=133,32,444.720825548,32,0.366346495,148,32,32,7,15,32,32,32
SBF2,0.25,barthol2_c=137,31,456.664199832,31,0.316832919,148,31,31,7,15,31,31,31
SBF2,0.25,barthol2_c=142,30,409.36704914,30,0.465350602,148,30,30,6,11,30,30,30
SBF2,0.25,barthol2_c=146,29,507.062160355,29,0.563812583,148,29,29,6,10,29,29,29
SBF2,0.25,barthol2_c=152,28,385.108331347,28,0.414037205,148,28,28,6,10,28,28,28
SBF2,0.25,barthol2_c=157,27,371.440899758,27,0.531493441,148,27,27,4,9,27,27,27
SBF2,0.25,barthol2_c=163,26,347.225755723,26,0.55229482,148,26,26,1,8,26,26,26
SBF2,0.25,barthol2_c=89,48,588.983447298,48,0.24273752,148,48,48,30,36,48,49,48
SBF2,0.25,barthol2_c=95,45,550.535047429,45,0.285729023,148,45,45,22,33,45,45,45
SBF2,0.25,barthold_c=403,14,575.748946045,14,6.162644637,148,14,14,2,5,14,14,14
SBF2,0.25,barthold_c=434,13,275.944299084,13,2.28561433,148,13,13,2,4,13,13,13
SBF2,0.25,barthold_c=470,12,249.799836789,12,3.988899353,148,12,12,2,3,12,12,12
SBF2,0.25,barthold_c=513,11,285.340005187,11,1.738474633,148,11,11,2,2,11,11,11
SBF2,0.25,barthold_c=564,10,208.452944005,10,2.731124428,148,10,10,1,2,10,10,10
SBF2,0.25,barthold_c=626,9,145.124144073,9,10.714206467,148,9,9,1,1,9,9,9
SBF2,0.25,barthold_c=705,8,104.988250048,8,6.5343627,148,8,8,1,1,8,8,8
SBF2,0.25,barthold_c=805,7,170.501026049,7,8.634219373,148,7,7,0,1,7,7,7
SBF2,0.25,bowman8_c=20,5,0.002002024,5,6.7738e-4,8,5,5,4,4,5,5,5
SBF2,0.25,buxey_c=27,13,0.035870379,13,0.003862671,29,13,13,12,12,13,13,13
SBF2,0.25,buxey_c=30,11,0.084479096,12,0.004279541,29,11,11,8,9,11,12,12
SBF2,0.25,buxey_c=33,10,0.067487863,11,0.004238776,29,10,10,5,7,11,11,11
SBF2,0.25,buxey_c=36,9,0.069691174,10,0.005567753,29,9,9,4,7,9,10,10
SBF2,0.25,buxey_c=41,8,0.035851735,8,0.004393478,29,8,8,2,6,8,8,8
SBF2,0.25,buxey_c=47,7,0.026265345,7,0.005123987,29,7,7,1,4,7,7,7
SBF2,0.25,buxey_c=54,7,0.023793122,7,0.003665948,29,7,7,0,2,7,7,7
SBF2,0.25,gunther_c=41,13,0.087673373,14,0.003528195,35,12,12,12,12,13,14,14
SBF2,0.25,gunther_c=44,11,0.078753232,12,0.004691005,35,11,11,11,10,11,12,12
SBF2,0.25,gunther_c=49,10,0.061628826,11,0.005900578,35,10,10,7,8,10,11,11
SBF2,0.25,gunther_c=54,9,0.050202031,9,0.005942009,35,9,9,7,8,9,9,9
SBF2,0.25,gunther_c=61,8,0.051897326,9,0.008422746,35,8,8,2,6,8,9,9
SBF2,0.25,gunther_c=69,8,0.037864508,8,0.00705427,35,7,7,2,5,8,8,8
SBF2,0.25,gunther_c=81,7,0.054527071,7,0.006552286,35,6,6,0,4,7,7,7
SBF2,0.25,hahn_c=2004,8,0.027995893,8,0.004303246,53,8,8,5,4,8,8,8
SBF2,0.25,hahn_c=2338,7,0.017160647,7,0.026315348,53,7,7,3,3,7,7,7
SBF2,0.25,hahn_c=2806,6,0.027540523,6,0.014478185,53,5,5,2,3,5,6,6
SBF2,0.25,hahn_c=3507,5,0.014438854,5,0.00352335,53,5,5,1,2,5,5,5
SBF2,0.25,hahn_c=4676,4,0.013151542,4,0.004010814,53,4,4,0,1,4,4,4
SBF2,0.25,heskia_c=138,8,0.053015562,8,0.001407,28,8,8,5,7,8,8,8
SBF2,0.25,heskia_c=205,5,0.094706718,5,0.00956138,28,5,5,2,3,5,5,5
SBF2,0.25,heskia_c=216,5,0.027691972,5,0.002181195,28,5,5,1,2,5,5,5
SBF2,0.25,heskia_c=256,4,0.056739849,4,0.013803936,28,4,4,0,2,4,4,4
SBF2,0.25,heskia_c=324,4,0.026474023,4,0.004072571,28,4,4,0,1,4,4,4
SBF2,0.25,heskia_c=342,3,0.036432809,3,0.009221119,28,3,3,0,0,3,3,3
SBF2,0.25,jackson_c=10,5,0.004624084,5,8.80436e-4,11,5,5,5,4,5,5,5
SBF2,0.25,jackson_c=13,4,0.002309672,4,7.38258e-4,11,4,4,1,3,4,4,4
SBF2,0.25,jackson_c=14,4,0.002400033,4,0.001046076,11,4,4,1,3,4,4,4
SBF2,0.25,jackson_c=21,3,0.002634309,3,5.42912e-4,11,3,3,0,1,3,3,3
SBF2,0.25,jackson_c=7,8,0.003155884,8,7.15317e-4,11,7,7,7,8,7,8,8
SBF2,0.25,jackson_c=9,6,0.002725824,6,5.27754e-4,11,6,6,6,5,6,6,6
SBF2,0.25,jaeschke_c=10,4,0.001805134,4,5.12623e-4,9,4,4,3,4,4,4,4
SBF2,0.25,jaeschke_c=18,3,0.002291934,3,5.05138e-4,9,3,3,0,1,3,3,3
SBF2,0.25,jaeschke_c=6,8,0.001557782,8,4.67356e-4,9,8,8,8,8,8,8,8
SBF2,0.25,jaeschke_c=7,6,0.001814797,7,5.0496e-4,9,6,6,7,6,6,7,7
SBF2,0.25,jaeschke_c=8,6,0.002759725,6,5.26109e-4,9,5,5,6,5,6,6,6
SBF2,0.25,kilbrid_c=110,6,0.058075887,6,0.015548205,45,6,6,1,1,6,6,6
SBF2,0.25,kilbrid_c=111,5,0.085108892,5,0.011345533999999999,45,5,5,0,1,5,5,5
SBF2,0.25,kilbrid_c=138,4,0.153329607,4,0.019939047,45,4,4,0,1,4,4,4
SBF2,0.25,kilbrid_c=184,3,0.098161649,3,0.034122672,45,3,3,0,0,3,3,3
SBF2,0.25,kilbrid_c=56,10,0.343387383,10,0.009372899,45,10,10,2,6,10,10,10
SBF2,0.25,kilbrid_c=57,10,0.097553964,10,0.009417117,45,10,10,2,6,10,10,10
SBF2,0.25,kilbrid_c=62,9,0.251020118,9,0.009706177,45,9,9,1,4,9,9,9
SBF2,0.25,kilbrid_c=69,8,0.227044067,8,0.009566312,45,8,8,1,3,8,8,8
SBF2,0.25,kilbrid_c=79,7,0.244937902,7,0.010785391,45,7,7,1,2,7,7,7
SBF2,0.25,kilbrid_c=92,6,0.230344269,6,0.013540904,45,6,6,1,1,6,6,6
SBF2,0.25,lutz1_c=1414,11,0.008561007,11,0.0033224,32,11,11,2,6,11,11,11
SBF2,0.25,lutz1_c=1572,10,0.009445833,10,0.003341248,32,10,10,2,5,10,10,10
SBF2,0.25,lutz1_c=1768,9,0.010707563,9,0.004615768,32,9,9,1,4,9,9,9
SBF2,0.25,lutz1_c=2020,8,0.008384158,8,0.003822924,32,8,8,1,3,8,8,8
SBF2,0.25,lutz1_c=2357,7,0.008336606,7,0.00385917,32,7,7,1,1,7,7,7
SBF2,0.25,lutz1_c=2828,6,0.007796179,6,0.002575079,32,6,6,0,1,6,6,6
SBF2,0.25,lutz2_c=11,46,1.091500299,48,0.011463309,89,46,46,44,45,46,49,48
SBF2,0.25,lutz2_c=12,42,1.291812473,44,0.013585988,89,42,42,40,41,42,44,44
SBF2,0.25,lutz2_c=13,39,1.187076283,39,0.016703128,89,39,39,35,36,39,40,39
SBF2,0.25,lutz2_c=14,36,1.534375178,36,0.016542789,89,36,36,31,32,36,37,36
SBF2,0.25,lutz2_c=15,33,1.01494166,33,0.018701392,89,33,33,26,27,33,34,33
SBF2,0.25,lutz2_c=16,31,1.488744397,31,0.01853047,89,31,31,22,22,31,31,31
SBF2,0.25,lutz2_c=17,29,1.0056156,29,0.019708628,89,29,29,17,22,29,29,29
SBF2,0.25,lutz2_c=18,27,0.766984365,28,0.018813805,89,27,27,13,21,27,28,28
SBF2,0.25,lutz2_c=19,26,0.586990659,26,0.020736173,89,26,26,8,18,26,26,26
SBF2,0.25,lutz2_c=20,25,0.633845186,25,0.018788918,89,25,25,4,18,25,25,25
SBF2,0.25,lutz2_c=21,24,0.844664116,24,0.021373564,89,24,24,0,16,24,24,24
SBF2,0.25,lutz3_c=103,17,0.489934969,17,0.086332287,89,16,16,3,5,17,17,17
SBF2,0.25,lutz3_c=110,15,0.381623595,15,0.053138832,89,15,15,3,5,15,15,15
SBF2,0.25,lutz3_c=118,14,0.387264669,14,0.096991838,89,14,14,3,3,14,14,14
SBF2,0.25,lutz3_c=127,13,0.280681817,14,0.130824775,89,13,13,2,2,13,14,14
SBF2,0.25,lutz3_c=137,13,0.510983786,13,0.109318312,89,12,12,1,2,12,13,13
SBF2,0.25,lutz3_c=150,11,0.374990648,12,0.161628131,89,11,11,0,2,11,12,12
SBF2,0.25,lutz3_c=75,22,0.627004486,23,0.049029194,89,22,22,8,12,23,23,23
SBF2,0.25,lutz3_c=79,21,0.389175351,22,0.049081304,89,21,21,5,11,21,22,22
SBF2,0.25,lutz3_c=83,20,0.568487716,21,0.058406969,89,20,20,5,10,20,21,21
SBF2,0.25,lutz3_c=87,20,0.495207593,20,0.052917446,89,19,19,4,9,20,20,20
SBF2,0.25,lutz3_c=92,18,0.407679587,19,0.071128974,89,18,18,4,8,18,19,19
SBF2,0.25,lutz3_c=97,17,0.794777976,18,0.07771635,89,17,17,3,6,17,18,18
SBF2,0.25,mansoor_c=48,4,0.002246068,4,5.97376e-4,11,4,4,3,3,4,4,4
SBF2,0.25,mansoor_c=62,3,0.003278843,3,6.71838e-4,11,3,3,3,2,3,3,3
SBF2,0.25,mansoor_c=94,2,0.002055824,2,5.27791e-4,11,2,2,0,2,2,2,2
SBF2,0.25,mertens_c=10,3,0.002172152,3,8.63807e-4,7,3,3,3,3,3,3,3
SBF2,0.25,mertens_c=15,2,0.002252199,2,5.00406e-4,7,2,2,0,2,2,2,2
SBF2,0.25,mertens_c=18,2,0.001582648,2,4.94185e-4,7,2,2,0,1,2,2,2
SBF2,0.25,mertens_c=6,6,0.001498726,6,4.8827e-4,7,6,6,6,6,6,6,6
SBF2,0.25,mertens_c=7,5,0.001480133,5,5.00448e-4,7,5,5,5,5,5,5,5
SBF2,0.25,mertens_c=8,5,0.001946721,5,6.05533e-4,7,4,4,5,4,4,5,5
SBF2,0.25,mitchell_c=14,8,0.005261695,8,0.002127761,21,8,8,5,6,8,8,8
SBF2,0.25,mitchell_c=15,8,0.007278388,8,0.002642081,21,7,7,4,6,7,8,8
SBF2,0.25,mitchell_c=21,5,0.003728939,5,6.96769e-4,21,5,5,1,3,5,5,5
SBF2,0.25,mitchell_c=26,5,0.004910663,5,0.001162425,21,5,5,1,2,5,5,5
SBF2,0.25,mitchell_c=35,3,0.003152482,3,8.42873e-4,21,3,3,0,1,3,3,3
SBF2,0.25,mitchell_c=39,3,0.003329678,3,8.6005e-4,21,3,3,0,1,3,3,3
SBF2,0.25,mukherje_c=176,25,18.792136513,25,0.342134687,94,25,25,10,15,25,25,25
SBF2,0.25,mukherje_c=183,24,17.044801029,24,0.280144661,94,24,24,10,15,24,24,24
SBF2,0.25,mukherje_c=192,23,13.297578524,23,0.279817634,94,22,22,8,12,23,23,23
SBF2,0.25,mukherje_c=201,22,12.025147154,22,0.252969162,94,21,21,8,11,22,22,22
SBF2,0.25,mukherje_c=211,21,9.17984779,21,0.339360338,94,20,20,7,10,21,21,21
SBF2,0.25,mukherje_c=222,20,11.19485339,20,0.909772074,94,19,19,7,9,20,20,20
SBF2,0.25,mukherje_c=234,19,7.453351718,19,0.994322854,94,18,18,4,7,19,19,19
SBF2,0.25,mukherje_c=248,18,6.764706092,18,2.177738851,94,17,17,3,6,18,18,18
SBF2,0.25,mukherje_c=263,17,4.6709716,17,0.26538885,94,16,16,3,5,17,17,17
SBF2,0.25,mukherje_c=281,16,5.003955921,16,2.504625823,94,15,15,3,5,16,16,16
SBF2,0.25,mukherje_c=301,15,4.012640255,15,0.915165676,94,14,14,2,4,15,15,15
SBF2,0.25,mukherje_c=324,14,3.053500796,14,0.798235323,94,13,13,1,4,14,14,14
SBF2,0.25,mukherje_c=351,13,2.732057256,13,1.312578576,94,12,12,0,2,13,13,13
SBF2,0.25,roszieg_c=14,10,0.009540751,10,0.002810525,25,9,9,6,7,10,10,10
SBF2,0.25,roszieg_c=16,8,0.007429791,8,0.00255194,25,8,8,4,4,8,8,8
SBF2,0.25,roszieg_c=18,8,0.010920605,8,0.00263249,25,7,7,2,4,8,8,8
SBF2,0.25,roszieg_c=21,6,0.011084932,6,0.002367917,25,6,6,1,4,6,6,6
SBF2,0.25,roszieg_c=25,6,0.008619786,6,0.003411285,25,5,5,1,2,6,6,6
SBF2,0.25,roszieg_c=32,4,0.004241436,4,0.001006246,25,4,4,0,1,4,4,4
SBF2,0.25,sawyer30_c=25,13,0.099060315,14,0.003730106,30,13,13,12,12,13,14,14
SBF2,0.25,sawyer30_c=27,13,0.028937396,13,0.004228548,30,13,13,12,11,13,13,13
SBF2,0.25,sawyer30_c=30,11,0.060074218,12,0.004524005,30,11,11,8,9,11,12,12
SBF2,0.25,sawyer30_c=36,9,0.079280587,10,0.006677816,30,9,9,4,7,9,10,10
SBF2,0.25,sawyer30_c=41,8,0.063002266,8,0.004198505,30,8,8,2,6,8,8,8
SBF2,0.25,sawyer30_c=54,6,0.053715859,7,0.006620055,30,6,6,0,2,6,7,7
SBF2,0.25,sawyer30_c=75,5,0.01858576,5,0.005253278,30,5,5,0,1,5,5,5
SBF2,0.25,tonge70_c=364,10,0.323237163,10,0.0356801,70,10,10,0,3,10,10,10
SBF2,0.25,tonge70_c=410,9,0.204964086,9,0.046324863,70,9,9,0,2,9,9,9
SBF2,0.25,tonge70_c=468,8,0.160751127,8,0.040632633,70,8,8,0,1,8,8,8
SBF2,0.25,tonge70_c=527,7,0.097432935,7,0.03650595,70,7,7,0,0,7,7,7
SBF2,0.25,warnecke_c=104,15,0.635568172,15,0.024822301,58,15,15,3,9,15,15,15
SBF2,0.25,warnecke_c=111,14,0.494377955,14,0.024779331,58,14,14,0,8,14,14,14
SBF2,0.25,warnecke_c=54,30,0.571454482,31,0.008171243,58,30,30,26,26,30,31,31
SBF2,0.25,warnecke_c=56,29,0.750176902,29,0.010239836,58,29,29,26,24,29,29,29
SBF2,0.25,warnecke_c=58,28,0.616090473,29,0.007095521,58,28,28,25,24,28,29,29
SBF2,0.25,warnecke_c=60,27,0.707362337,27,0.009482196,58,27,27,24,24,27,27,27
SBF2,0.25,warnecke_c=62,26,0.624478619,27,0.010306338,58,26,26,24,24,26,27,27
SBF2,0.25,warnecke_c=65,24,0.769479494,25,0.007841469,58,24,24,24,23,24,25,25
SBF2,0.25,warnecke_c=68,23,0.755680798,24,0.013889043,58,23,23,19,21,23,24,24
SBF2,0.25,warnecke_c=71,22,0.859920835,23,0.011127606,58,22,22,16,18,22,23,23
SBF2,0.25,warnecke_c=74,21,0.841091807,22,0.007865775,58,21,21,14,17,21,22,22
SBF2,0.25,warnecke_c=78,20,0.967911991,21,0.016790081,58,20,20,13,15,20,21,21
SBF2,0.25,warnecke_c=82,19,0.925654051,20,0.01462994,58,19,19,13,13,19,20,20
SBF2,0.25,warnecke_c=86,18,1.010836552,19,0.014161603,58,18,18,11,13,18,19,19
SBF2,0.25,warnecke_c=92,17,0.568120898,17,0.014608696,58,17,17,7,12,17,17,17
SBF2,0.25,warnecke_c=97,16,0.807422321,17,0.029633321,58,16,16,6,12,16,17,17
SBF2,0.25,wee-mag_c=28,55,6.342497791,63,0.003066499,75,55,55,61,63,55,63,63
SBF2,0.25,wee-mag_c=29,53,10.937114557,63,0.003497114,75,53,53,61,63,53,63,63
SBF2,0.25,wee-mag_c=30,51,55.79692157,62,0.002943904,75,50,50,61,62,50,62,62
SBF2,0.25,wee-mag_c=31,49,15.610967054,62,0.003520076,75,49,49,60,62,49,62,62
SBF2,0.25,wee-mag_c=32,48,68.09715605,61,0.003367154,75,47,47,60,57,47,61,61
SBF2,0.25,wee-mag_c=33,47,96.515161957,61,0.003192776,75,46,46,60,51,46,61,61
SBF2,0.25,wee-mag_c=34,48,68.882654832,61,0.003271174,75,45,45,60,47,45,61,61
SBF2,0.25,wee-mag_c=35,46,104.794803567,60,0.003478974,75,43,43,60,43,43,60,60
SBF2,0.25,wee-mag_c=36,45,175.931605474,60,0.003750727,75,42,42,60,41,42,60,60
SBF2,0.25,wee-mag_c=37,46,107.366564825,60,0.003257803,75,41,41,60,40,41,60,60
SBF2,0.25,wee-mag_c=38,45,209.270256041,60,0.003717094,75,40,40,60,35,40,60,60
SBF2,0.25,wee-mag_c=39,45,291.8105464,60,0.003343229,75,39,39,60,33,39,60,60
SBF2,0.25,wee-mag_c=40,45,122.539849248,60,0.003200844,75,38,38,60,32,38,60,60
SBF2,0.25,wee-mag_c=41,44,135.688336232,59,0.003746776,75,37,37,59,31,37,59,59
SBF2,0.25,wee-mag_c=42,37,113.659557744,55,0.00410517,75,36,36,55,31,36,55,55
SBF2,0.25,wee-mag_c=43,36,49.897024242,50,0.00354784,75,35,35,50,31,36,50,50
SBF2,0.25,wee-mag_c=45,34,27.538320463,38,0.009348967,75,34,34,31,31,34,38,38
SBF2,0.25,wee-mag_c=46,33,27.344148237,34,0.01334641,75,33,33,27,30,33,34,34
SBF2,0.25,wee-mag_c=47,32,31.15957599,33,0.029433193,75,32,32,23,30,32,33,33
SBF2,0.25,wee-mag_c=49,31,32.955243869,32,0.014863415,75,31,31,17,30,31,32,32
SBF2,0.25,wee-mag_c=50,30,36.026795294,32,0.012032051,75,30,30,13,30,30,32,32
SBF2,0.25,wee-mag_c=52,29,33.89668878,31,0.012432773,75,29,29,5,30,29,31,31
SBF2,0.25,wee-mag_c=54,28,46.719595385,31,0.010229237,75,28,28,1,30,28,31,31
SBF2,0.25,wee-mag_c=56,27,29.959770443,30,0.011166503,75,27,27,0,30,27,30,30
SBF2,0.50,Arc111_c=10027,16,47.761979506,16,155.419833859,111,15,15,4,7,15,16,16
SBF2,0.50,Arc111_c=10743,14,31.352968268,14,599.968206781,111,14,14,2,4,14,15,14
SBF2,0.50,Arc111_c=11570,13,20.347430286,13,161.146258445,111,13,13,0,4,13,13,13
SBF2,0.50,Arc111_c=17067,9,6.082349348,9,1.403201625,111,9,9,0,1,9,9,9
SBF2,0.50,Arc111_c=5785,27,122.052616657,27,54.843952486,111,26,26,17,21,27,27,27
SBF2,0.50,Arc111_c=6016,26,44.357483213,26,14.820492118,111,26,26,15,18,26,26,26
SBF2,0.50,Arc111_c=6267,25,123.46360292,25,49.021982777,111,24,24,14,17,25,25,25
SBF2,0.50,Arc111_c=6540,24,106.113635046,24,25.248483548,111,23,23,13,17,24,24,24
SBF2,0.50,Arc111_c=6837,23,93.027028025,23,86.655877671,111,22,22,12,15,23,23,23
SBF2,0.50,Arc111_c=7162,22,28.541532024,22,83.531767863,111,22,22,8,13,22,22,22
SBF2,0.50,Arc111_c=7520,20,53.635763959,21,61.608533494,111,20,20,8,13,20,21,21
SBF2,0.50,Arc111_c=7916,20,47.037992364,20,399.54212164,111,19,19,8,12,19,20,20
SBF2,0.50,Arc111_c=8356,19,76.11759669,19,117.859191397,111,18,18,5,10,18,19,19
SBF2,0.50,Arc111_c=9400,16,25.734354262,17,141.830926789,111,16,16,5,7,16,17,17
SBF2,0.50,Arc83_c=3786,21,3.272917844,21,0.122512141,83,21,21,5,9,21,21,21
SBF2,0.50,Arc83_c=3985,20,2.319976069,20,0.119932264,83,20,20,5,6,20,20,20
SBF2,0.50,Arc83_c=4206,19,2.15660134,19,0.139803589,83,19,19,4,6,19,19,19
SBF2,0.50,Arc83_c=4454,18,3.415659338,18,0.085292996,83,17,17,4,6,18,18,18
SBF2,0.50,Arc83_c=4732,17,1.735711507,17,0.099057396,83,17,17,3,6,17,17,17
SBF2,0.50,Arc83_c=5048,16,4.556771578,16,0.177905298,83,15,15,3,5,16,16,16
SBF2,0.50,Arc83_c=5408,15,1.516383756,15,0.148170013,83,15,15,2,4,15,15,15
SBF2,0.50,Arc83_c=5824,14,1.162900286,14,0.139746702,83,14,14,1,3,14,14,14
SBF2,0.50,Arc83_c=6309,13,0.857917005,13,0.134404436,83,13,13,1,2,13,13,13
SBF2,0.50,Arc83_c=6883,12,1.256213109,12,0.08777915,83,12,12,1,2,12,12,12
SBF2,0.50,Arc83_c=7571,11,0.759324968,11,0.12036816,83,11,11,0,2,11,11,11
SBF2,0.50,Sawyer30_c=33,10,0.05042974,11,0.006772392,30,10,10,5,7,10,11,11
SBF2,0.50,Sawyer30_c=47,7,0.059611439,7,0.004773981,30,7,7,1,4,7,7,7
SBF2,0.50,Tonge70_c=160,23,0.791876581,23,0.063240629,70,23,23,14,16,23,23,23
SBF2,0.50,Tonge70_c=168,21,0.95861277,22,0.078215652,70,21,21,13,15,21,22,22
SBF2,0.50,Tonge70_c=176,20,1.220924755,21,0.068690946,70,20,20,12,15,20,21,21
SBF2,0.50,Tonge70_c=185,19,1.013727735,20,0.066326806,70,19,19,9,14,19,20,20
SBF2,0.50,Tonge70_c=195,18,1.215378103,19,0.070384949,70,18,18,8,13,18,19,19
SBF2,0.50,Tonge70_c=207,17,0.913810254,18,0.13338314,70,17,17,7,11,17,18,18
SBF2,0.50,Tonge70_c=220,16,0.721791355,17,0.212370989,70,16,16,7,9,16,17,17
SBF2,0.50,Tonge70_c=234,15,0.755597367,16,0.123303692,70,15,15,7,8,15,16,16
SBF2,0.50,Tonge70_c=251,14,0.576042566,14,0.134755046,70,14,14,6,7,14,14,14
SBF2,0.50,Tonge70_c=270,13,0.612783853,14,0.364502281,70,13,13,4,5,13,14,14
SBF2,0.50,Tonge70_c=293,12,0.470379572,13,0.310187867,70,12,12,2,4,12,13,13
SBF2,0.50,Tonge70_c=320,11,0.441497977,11,0.120799613,70,11,11,0,4,11,11,11
SBF2,0.50,arc111_c=11378,14,11.175211274,14,64.34267953,111,14,14,1,4,14,14,14
SBF2,0.50,arc111_c=5755,27,34.012045618,27,46.956274135,111,27,27,18,21,27,27,27
SBF2,0.50,arc111_c=8847,18,87.7992164,18,83.680157171,111,17,17,5,9,17,18,18
SBF2,0.50,arc83_c=10816,8,1.112701817,8,82.460453317,83,7,7,0,1,7,8,8
SBF2,0.50,arc83_c=5853,14,1.2016208,14,0.196596801,83,13,13,1,3,14,14,14
SBF2,0.50,arc83_c=6842,12,0.877735301,12,0.184157769,83,12,12,1,2,12,12,12
SBF2,0.50,arc83_c=8412,10,0.617561822,10,0.225477688,83,10,10,0,1,10,10,10
SBF2,0.50,arc83_c=8898,9,0.488509706,9,0.074086966,83,9,9,0,1,9,9,9
